H,TWI,Aspect,Hillshade,Roughness,Slope,Temperature_merra_1000hpa,T_rp5,Time,DayOfYear,X,Y
110,6.57,0.0,184,2,0.46,306.67,31.1,720,230,50.8,42.0
110,6.57,0.0,184,2,0.46,295.48,18.0,0,230,50.8,42.0
110,6.57,0.0,184,2,0.46,303.05,32.2,1080,231,50.8,42.0
110,6.57,0.0,184,2,0.46,306.95,33.5,720,231,50.8,42.0
110,6.57,0.0,184,2,0.46,296.18,18.6,0,231,50.8,42.0
110,6.57,0.0,184,2,0.46,302.65,16.0,360,231,50.8,42.0
110,6.57,0.0,184,2,0.46,306.44,31.9,720,232,50.8,42.0
110,6.57,0.0,184,2,0.46,297.98,19.3,0,232,50.8,42.0
110,6.57,0.0,184,2,0.46,301.67,17.9,360,232,50.8,42.0
110,6.57,0.0,184,2,0.46,301.69,30.4,1080,232,50.8,42.0
110,6.57,0.0,184,2,0.46,296.81,19.9,0,233,50.8,42.0
110,6.57,0.0,184,2,0.46,307.2,28.8,720,233,50.8,42.0
110,6.57,0.0,184,2,0.46,300.49,24.8,1080,233,50.8,42.0
110,6.57,0.0,184,2,0.46,303.31,17.7,360,233,50.8,42.0
110,6.57,0.0,184,2,0.46,297.71,16.6,360,234,50.8,42.0
110,6.57,0.0,184,2,0.46,295.36,18.0,0,234,50.8,42.0
110,6.57,0.0,184,2,0.46,299.83,21.4,720,234,50.8,42.0
110,6.57,0.0,184,2,0.46,292.52,21.0,1080,234,50.8,42.0
110,6.57,0.0,184,2,0.46,293.65,13.2,360,235,50.8,42.0
110,6.57,0.0,184,2,0.46,298.02,22.9,720,235,50.8,42.0
110,6.57,0.0,184,2,0.46,289.6,15.6,0,235,50.8,42.0
110,6.57,0.0,184,2,0.46,294.84,21.9,1080,235,50.8,42.0
110,6.57,0.0,184,2,0.46,290.42,12.9,360,236,50.8,42.0
110,6.57,0.0,184,2,0.46,296.55,21.8,720,236,50.8,42.0
110,6.57,0.0,184,2,0.46,293.45,22.7,1080,236,50.8,42.0
110,6.57,0.0,184,2,0.46,290.55,14.1,0,236,50.8,42.0
110,6.57,0.0,184,2,0.46,288.99,19.5,1080,237,50.8,42.0
110,6.57,0.0,184,2,0.46,291.84,13.4,360,237,50.8,42.0
110,6.57,0.0,184,2,0.46,290.33,15.3,0,237,50.8,42.0
110,6.57,0.0,184,2,0.46,292.24,17.2,720,237,50.8,42.0
110,6.57,0.0,184,2,0.46,293.85,20.0,720,238,50.8,42.0
110,6.57,0.0,184,2,0.46,289.69,20.4,1080,238,50.8,42.0
110,6.57,0.0,184,2,0.46,285.62,9.4,0,238,50.8,42.0
110,6.57,0.0,184,2,0.46,289.46,8.2,360,238,50.8,42.0
110,6.57,0.0,184,2,0.46,290.98,12.3,360,239,50.8,42.0
110,6.57,0.0,184,2,0.46,293.76,23.4,720,239,50.8,42.0
110,6.57,0.0,184,2,0.46,287.82,14.1,0,239,50.8,42.0
110,6.57,0.0,184,2,0.46,291.73,24.6,1080,239,50.8,42.0
110,6.57,0.0,184,2,0.46,296.69,16.4,720,240,50.8,42.0
110,6.57,0.0,184,2,0.46,287.73,20.7,1080,240,50.8,42.0
110,6.57,0.0,184,2,0.46,289.1,17.7,0,240,50.8,42.0
110,6.57,0.0,184,2,0.46,290.67,16.4,360,240,50.8,42.0
110,6.57,0.0,184,2,0.46,286.98,6.7,360,241,50.8,42.0
110,6.57,0.0,184,2,0.46,282.89,9.6,0,241,50.8,42.0
110,6.57,0.0,184,2,0.46,290.26,19.3,1080,241,50.8,42.0
110,6.57,0.0,184,2,0.46,294.88,18.6,720,241,50.8,42.0
110,6.57,0.0,184,2,0.46,290.01,5.6,360,242,50.8,42.0
110,6.57,0.0,184,2,0.46,284.92,7.9,0,242,50.8,42.0
110,6.57,0.0,184,2,0.46,295.29,21.9,720,242,50.8,42.0
110,6.57,0.0,184,2,0.46,292.17,22.0,1080,242,50.8,42.0
110,6.57,0.0,184,2,0.46,289.19,11.1,0,243,50.8,42.0
110,6.57,0.0,184,2,0.46,292.03,8.1,360,243,50.8,42.0
